book_id,title,author,genre,availability,description
300,To Kill a Mockingbird,Harper Lee,Fiction,False,"To Kill a Mockingbird is a novel by Harper Lee published in 1960. It was immediately successful, winning the Pulitzer Prize, and has become a classic of modern American literature."
301,1984,George Orwell,Dystopian Fiction,True,1984 is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime.
302,The Great Gatsby,F. Scott Fitzgerald,Classic Fiction,False,"The Great Gatsby is a 1925 novel by American writer F. Scott Fitzgerald. Set in the Jazz Age on Long Island, the novel depicts narrator Nick Carraway's interactions with mysterious millionaire Jay Gatsby and Gatsby's obsession with Carraway's cousin Daisy Buchanan."
303,Pride and Prejudice,Jane Austen,Romance,True,"Pride and Prejudice is a romantic novel of manners written by Jane Austen in 1813. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book."
304,The Catcher in the Rye,J.D. Salinger,Coming-of-age Fiction,True,"The Catcher in the Rye is a novel by J. D. Salinger, first published in 1951. It is known for its distinctive and unreliable narrator, the teenage protagonist Holden Caulfield."
305,To the Lighthouse,Virginia Woolf,Modernist Literature,False,To the Lighthouse is a 1927 novel by Virginia Woolf. The novel centres on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920.
306,Moby-Dick,Herman Melville,Adventure Fiction,True,"Moby-Dick; or, The Whale is an 1851 novel by American writer Herman Melville. The book is the sailor Ishmael's narrative of the obsessive quest of Ahab, captain of the whaling ship Pequod, for revenge on Moby Dick, the giant white sperm whale that on the ship's previous voyage bit off Ahab's leg at the knee."
307,The Hobbit,J.R.R. Tolkien,Fantasy,True,"The Hobbit, or There and Back Again is a children's fantasy novel by English author J. R. R. Tolkien. It was published on 21 September 1937 to wide critical acclaim, being nominated for the Carnegie Medal and awarded a prize from the New York Herald Tribune for best juvenile fiction."
308,Brave New World,Aldous Huxley,Dystopian Fiction,True,"Brave New World is a dystopian social science fiction novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, whose citizens are environmentally engineered into an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation, and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist."
309,The Lord of the Rings,J.R.R. Tolkien,Fantasy,True,"The Lord of the Rings is an epic high-fantasy novel written by English author and scholar J. R. R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work."
